Epoch 1, Loss G:  1.4470,Loss D:  0.0007
Epoch 252, Loss G: -3.3732,Loss D:  0.1770
Epoch 253, Loss G: -3.2444,Loss D:  0.3621
Epoch 254, Loss G: -3.3757,Loss D:  0.4861
Epoch 255, Loss G: -3.4052,Loss D:  0.1949
Epoch 256, Loss G: -3.2967,Loss D:  0.3695
Epoch 257, Loss G: -3.3993,Loss D:  0.5700
Epoch 258, Loss G: -3.6721,Loss D:  0.3060
Epoch 259, Loss G: -3.5648,Loss D:  0.1730
Epoch 260, Loss G: -3.6034,Loss D:  0.0403
Epoch 261, Loss G: -3.5627,Loss D:  0.1259
Epoch 262, Loss G: -3.3697,Loss D:  0.2784
Epoch 263, Loss G: -3.3723,Loss D:  0.1061
Epoch 264, Loss G: -3.6384,Loss D:  0.1633
Epoch 265, Loss G: -3.3764,Loss D: -0.0866
Epoch 266, Loss G: -3.4021,Loss D:  0.1440
Epoch 267, Loss G: -3.5553,Loss D:  0.2275
Epoch 268, Loss G: -3.6475,Loss D: -0.0805
Epoch 269, Loss G: -3.5876,Loss D: -0.0838
Epoch 270, Loss G: -3.4277,Loss D:  0.1334
Epoch 271, Loss G: -3.4677,Loss D: -0.0328
Epoch 272, Loss G: -3.6147,Loss D:  0.1276
Epoch 273, Loss G: -3.6668,Loss D:  0.0619
Epoch 274, Loss G: -3.7351,Loss D:  0.4287
Epoch 275, Loss G: -3.8259,Loss D:  0.2713
Epoch 276, Loss G: -3.8171,Loss D:  0.3174
Epoch 277, Loss G: -4.0019,Loss D:  0.3350
Epoch 278, Loss G: -3.6836,Loss D:  0.0669
Epoch 279, Loss G: -3.7237,Loss D:  0.3552
Epoch 280, Loss G: -3.6167,Loss D:  0.4978
Epoch 281, Loss G: -3.8366,Loss D:  0.2391
Epoch 282, Loss G: -3.8433,Loss D:  0.0367
Epoch 283, Loss G: -3.7161,Loss D:  0.0640
Epoch 284, Loss G: -3.6142,Loss D: -0.1282
Epoch 285, Loss G: -3.6498,Loss D:  0.0185
Epoch 286, Loss G: -3.7258,Loss D: -0.0230
Epoch 287, Loss G: -3.3884,Loss D:  0.2569
Epoch 288, Loss G: -3.1119,Loss D: -0.1064
Epoch 289, Loss G: -3.1492,Loss D:  0.1629
Epoch 290, Loss G: -3.0589,Loss D: -0.2254
Epoch 291, Loss G: -2.9830,Loss D:  0.1044
Epoch 292, Loss G: -2.8785,Loss D: -0.0319
Epoch 293, Loss G: -3.0423,Loss D: -0.1105
Epoch 294, Loss G: -3.1336,Loss D: -0.0341
Epoch 295, Loss G: -3.0053,Loss D:  0.1903
Epoch 296, Loss G: -2.9577,Loss D:  0.0768
Epoch 297, Loss G: -3.0072,Loss D:  0.5020
Epoch 298, Loss G: -3.2055,Loss D:  0.1048
Epoch 299, Loss G: -3.3575,Loss D:  0.5388
Epoch 300, Loss G: -3.2980,Loss D:  0.2729
Epoch 301, Loss G: -3.1952,Loss D: -0.0342
Epoch 302, Loss G: -3.2769,Loss D:  0.0855
Epoch 303, Loss G: -3.3581,Loss D:  0.7832
Epoch 304, Loss G: -2.9670,Loss D:  0.3647
Epoch 305, Loss G: -3.1399,Loss D:  0.4942
Epoch 306, Loss G: -2.7347,Loss D:  0.1155
Epoch 307, Loss G: -2.8222,Loss D:  0.0884
Epoch 308, Loss G: -2.7167,Loss D: -0.4372
Epoch 309, Loss G: -2.7522,Loss D: -0.2922
Epoch 310, Loss G: -2.7682,Loss D: -0.6013
Epoch 311, Loss G: -2.4748,Loss D: -0.1817
Epoch 312, Loss G: -2.5154,Loss D: -0.3333
Epoch 313, Loss G: -2.3970,Loss D: -0.1109
Epoch 314, Loss G: -2.4845,Loss D: -0.3682
Epoch 315, Loss G: -2.5556,Loss D: -0.0284
Epoch 316, Loss G: -2.6993,Loss D:  0.0183
Epoch 317, Loss G: -2.5356,Loss D:  0.1228
Epoch 318, Loss G: -2.9751,Loss D: -0.1023
Epoch 319, Loss G: -2.8706,Loss D:  0.0945
Epoch 320, Loss G: -3.0682,Loss D:  0.0633
Epoch 321, Loss G: -2.9870,Loss D:  0.0475
Epoch 322, Loss G: -2.8874,Loss D:  0.1451
Epoch 323, Loss G: -3.0862,Loss D:  0.4538
Epoch 324, Loss G: -3.2296,Loss D:  0.3825
Epoch 325, Loss G: -2.9081,Loss D: -0.0737
Epoch 326, Loss G: -3.3564,Loss D: -0.0894
Epoch 327, Loss G: -3.2524,Loss D:  0.4391
Epoch 328, Loss G: -3.4381,Loss D:  0.3145
Epoch 329, Loss G: -3.1545,Loss D:  0.3747
Epoch 330, Loss G: -3.4614,Loss D:  0.1199
Epoch 331, Loss G: -3.5621,Loss D:  0.3815
Epoch 332, Loss G: -3.5512,Loss D: -0.1511
Epoch 333, Loss G: -3.5558,Loss D:  0.4444
Epoch 334, Loss G: -3.5477,Loss D:  0.1470
Epoch 335, Loss G: -3.2928,Loss D:  0.0964
Epoch 336, Loss G: -3.6754,Loss D: -0.2939
Epoch 337, Loss G: -3.3736,Loss D:  0.4136
Epoch 338, Loss G: -3.4304,Loss D:  0.2120
Epoch 339, Loss G: -3.4467,Loss D:  0.0148
Epoch 340, Loss G: -3.4074,Loss D: -0.1930
Epoch 341, Loss G: -3.5838,Loss D: -0.0447
Epoch 342, Loss G: -3.5059,Loss D: -0.0241
Epoch 343, Loss G: -3.4084,Loss D: -0.2676
Epoch 344, Loss G: -3.3495,Loss D: -0.0712
Epoch 345, Loss G: -3.5418,Loss D:  0.0961
Epoch 346, Loss G: -3.3687,Loss D: -0.0631
Epoch 347, Loss G: -3.1584,Loss D:  0.2162
Epoch 348, Loss G: -3.2750,Loss D: -0.0015
Epoch 349, Loss G: -3.1308,Loss D:  0.1608
Epoch 350, Loss G: -3.6738,Loss D: -0.2726
Epoch 351, Loss G: -3.5707,Loss D:  0.3047
Epoch 352, Loss G: -3.7742,Loss D:  0.4034
Epoch 353, Loss G: -4.0691,Loss D:  0.0777
Epoch 354, Loss G: -3.7980,Loss D:  0.3186
Epoch 355, Loss G: -3.9853,Loss D: -0.2958
Epoch 356, Loss G: -3.9457,Loss D:  0.0109
Epoch 357, Loss G: -3.9152,Loss D:  0.2445
Epoch 358, Loss G: -3.9497,Loss D:  0.2465
Epoch 359, Loss G: -3.9818,Loss D: -0.1363
Epoch 360, Loss G: -3.9358,Loss D: -0.0329
Epoch 361, Loss G: -4.2341,Loss D:  0.1500
Epoch 362, Loss G: -4.0429,Loss D: -0.2720
Epoch 363, Loss G: -3.8337,Loss D: -0.0164
Epoch 364, Loss G: -3.7338,Loss D: -0.1077
Epoch 365, Loss G: -3.5512,Loss D: -0.0509
Epoch 366, Loss G: -3.6958,Loss D: -0.1080
Epoch 367, Loss G: -3.6215,Loss D: -0.1951
Epoch 368, Loss G: -3.8470,Loss D: -0.1397
Epoch 369, Loss G: -3.6926,Loss D:  0.2004
Epoch 370, Loss G: -3.8087,Loss D: -0.0966
Epoch 371, Loss G: -3.8890,Loss D:  0.4626
Epoch 372, Loss G: -3.8098,Loss D: -0.0807
Epoch 373, Loss G: -3.6527,Loss D:  0.1489
Epoch 374, Loss G: -3.9060,Loss D:  0.0744
Epoch 375, Loss G: -3.8678,Loss D: -0.0087
Epoch 376, Loss G: -4.0241,Loss D:  0.0149
Epoch 377, Loss G: -4.0672,Loss D:  0.2380
Epoch 378, Loss G: -3.9851,Loss D: -0.0894
Epoch 379, Loss G: -4.0232,Loss D:  0.0809
Epoch 380, Loss G: -3.9698,Loss D: -0.1724
Epoch 381, Loss G: -4.0169,Loss D:  0.0676
Epoch 382, Loss G: -4.1954,Loss D:  0.1155
Epoch 383, Loss G: -4.0659,Loss D:  0.0005
Epoch 384, Loss G: -4.0072,Loss D: -0.0862
Epoch 385, Loss G: -3.7844,Loss D:  0.1603
Epoch 386, Loss G: -3.8390,Loss D: -0.1007
Epoch 387, Loss G: -3.5663,Loss D:  0.0100
Epoch 388, Loss G: -3.8946,Loss D: -0.1345
Epoch 389, Loss G: -3.8625,Loss D: -0.2754
Epoch 390, Loss G: -3.9355,Loss D: -0.2524
Epoch 391, Loss G: -3.5718,Loss D:  0.0519
Epoch 392, Loss G: -3.8162,Loss D: -0.1949
Epoch 393, Loss G: -3.8753,Loss D: -0.2563
Epoch 394, Loss G: -4.0906,Loss D:  0.1470
Epoch 395, Loss G: -4.0824,Loss D:  0.0827
Epoch 396, Loss G: -4.6532,Loss D:  0.3150
Epoch 397, Loss G: -4.0946,Loss D:  0.2232
Epoch 398, Loss G: -4.5440,Loss D:  0.1074
Epoch 399, Loss G: -4.5423,Loss D:  0.1921
Epoch 400, Loss G: -4.7675,Loss D:  0.1263
Epoch 401, Loss G: -4.7735,Loss D:  0.3148
Epoch 402, Loss G: -4.7826,Loss D:  0.7952
Epoch 403, Loss G: -4.6843,Loss D:  0.1234
Epoch 404, Loss G: -4.7163,Loss D: -0.0839
Epoch 405, Loss G: -4.6850,Loss D:  0.0223
Epoch 406, Loss G: -4.7396,Loss D:  0.1741
Epoch 407, Loss G: -4.7513,Loss D:  0.1956
Epoch 408, Loss G: -4.7212,Loss D: -0.0291
Epoch 409, Loss G: -4.6769,Loss D:  0.2714
Epoch 410, Loss G: -4.7306,Loss D: -0.0089
Epoch 411, Loss G: -4.5772,Loss D: -0.0563
Epoch 412, Loss G: -4.6783,Loss D: -0.0916
Epoch 413, Loss G: -4.7540,Loss D: -0.0686
Epoch 414, Loss G: -4.9110,Loss D:  0.3799
Epoch 415, Loss G: -4.7647,Loss D:  0.1268
Epoch 416, Loss G: -4.7775,Loss D:  0.1649
Epoch 417, Loss G: -4.9234,Loss D: -0.0709
Epoch 418, Loss G: -5.0779,Loss D:  0.5160
Epoch 419, Loss G: -5.1205,Loss D:  0.0888
Epoch 420, Loss G: -5.0566,Loss D:  0.0494
Epoch 421, Loss G: -5.1057,Loss D: -0.2275
Epoch 422, Loss G: -5.2202,Loss D:  0.3983
Epoch 423, Loss G: -5.0616,Loss D: -0.1748
Epoch 424, Loss G: -5.0690,Loss D: -0.0956
Epoch 425, Loss G: -5.5108,Loss D:  0.1800
Epoch 426, Loss G: -5.1670,Loss D:  0.0405
Epoch 427, Loss G: -5.6708,Loss D: -0.2754
Epoch 428, Loss G: -5.3052,Loss D: -0.1043
Epoch 429, Loss G: -5.2364,Loss D:  0.0056
Epoch 430, Loss G: -5.5944,Loss D:  0.2108
Epoch 431, Loss G: -5.8850,Loss D: -0.0054
Epoch 432, Loss G: -5.4586,Loss D: -0.2831
Epoch 433, Loss G: -5.7961,Loss D:  0.3024
Epoch 434, Loss G: -5.6926,Loss D:  0.1499
Epoch 435, Loss G: -6.0772,Loss D: -0.0958
Epoch 436, Loss G: -6.1944,Loss D: -0.0866
Epoch 437, Loss G: -6.2483,Loss D: -0.0825
Epoch 438, Loss G: -6.2470,Loss D:  0.5130
Epoch 439, Loss G: -6.4554,Loss D:  0.3278
Epoch 440, Loss G: -6.4681,Loss D:  0.0867
Epoch 441, Loss G: -6.0269,Loss D: -0.0700
Epoch 442, Loss G: -6.0012,Loss D: -0.3359
Epoch 443, Loss G: -5.6939,Loss D: -0.5196
Epoch 444, Loss G: -5.9374,Loss D: -0.3887
Epoch 445, Loss G: -5.8446,Loss D: -0.1833
Epoch 446, Loss G: -5.5551,Loss D: -0.4387
Epoch 447, Loss G: -5.5348,Loss D: -0.7048
Epoch 448, Loss G: -5.3055,Loss D: -0.6487
Epoch 449, Loss G: -5.5502,Loss D:  0.1125
Epoch 450, Loss G: -5.5726,Loss D: -0.3172
Epoch 451, Loss G: -5.6394,Loss D:  0.2208
Epoch 452, Loss G: -5.5194,Loss D:  0.0603
Epoch 453, Loss G: -6.0523,Loss D:  0.1144
Epoch 454, Loss G: -5.5864,Loss D:  0.2701
Epoch 455, Loss G: -5.8395,Loss D:  0.4270
Epoch 456, Loss G: -6.1924,Loss D:  0.0936
Epoch 457, Loss G: -5.9792,Loss D: -0.0509
Epoch 458, Loss G: -6.4274,Loss D:  0.6850
Epoch 459, Loss G: -6.1676,Loss D:  0.1259
Epoch 460, Loss G: -5.9454,Loss D:  0.1122
Epoch 461, Loss G: -5.9808,Loss D:  0.2135
Epoch 462, Loss G: -6.2265,Loss D:  0.2864
Epoch 463, Loss G: -6.4484,Loss D: -0.2628
Epoch 464, Loss G: -6.4379,Loss D: -0.4723
Epoch 465, Loss G: -6.2343,Loss D: -0.6505
Epoch 466, Loss G: -6.2901,Loss D:  0.2949
Epoch 467, Loss G: -6.0950,Loss D: -0.0962
Epoch 468, Loss G: -6.0269,Loss D: -0.2892
Epoch 469, Loss G: -6.1816,Loss D: -0.5071
Epoch 470, Loss G: -6.1526,Loss D: -0.1837
Epoch 471, Loss G: -6.1816,Loss D:  0.2455
Epoch 472, Loss G: -6.1673,Loss D: -0.0100
Epoch 473, Loss G: -6.2867,Loss D:  0.0822
Epoch 474, Loss G: -5.8745,Loss D:  0.2310
Epoch 475, Loss G: -5.8458,Loss D:  0.0337
Epoch 476, Loss G: -5.5494,Loss D:  0.3034
Epoch 477, Loss G: -5.9756,Loss D:  0.4339
Epoch 478, Loss G: -5.4852,Loss D:  0.3015
Epoch 479, Loss G: -5.4272,Loss D:  0.6099
Epoch 480, Loss G: -5.3231,Loss D:  0.2623
Epoch 481, Loss G: -5.2344,Loss D:  0.4791
Epoch 482, Loss G: -5.4134,Loss D: -0.1552
Epoch 483, Loss G: -5.6551,Loss D: -0.0231
Epoch 484, Loss G: -5.6054,Loss D: -0.0150
Epoch 485, Loss G: -5.6054,Loss D:  0.0852
Epoch 486, Loss G: -5.6572,Loss D:  0.0277
Epoch 487, Loss G: -5.6527,Loss D: -0.0669
Epoch 488, Loss G: -5.3061,Loss D:  0.0632
Epoch 489, Loss G: -5.3655,Loss D: -0.2368
Epoch 490, Loss G: -5.3033,Loss D: -0.1858
Epoch 491, Loss G: -5.4593,Loss D:  0.0554
Epoch 492, Loss G: -5.2120,Loss D:  0.0693
Epoch 493, Loss G: -4.9558,Loss D: -0.3331
Epoch 494, Loss G: -5.0830,Loss D: -0.2985
Epoch 495, Loss G: -4.9915,Loss D: -0.3431
Epoch 496, Loss G: -5.0412,Loss D: -0.5302
Epoch 497, Loss G: -4.5515,Loss D: -0.2580
Epoch 498, Loss G: -4.8289,Loss D: -0.2485
Epoch 499, Loss G: -4.8623,Loss D:  0.0406
Epoch 500, Loss G: -4.8971,Loss D:  0.1148
